Time	OTF	Violation	Algorithm	Param	States	StateConfig	OtfStateConfig	AlgorithmParam	AlgorithmStateConfig	AlgorithmParamStateConfig	ExecutionTime	ExecutionTimeNormalized
11730	0.0792838874680307	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	29.387354	0.7515947314578004
9930	0.09365558912386707	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	20.514246	0.6197657401812688
10530	0.08831908831908832	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	36.046726	1.0269722507122507
11730	0.0792838874680307	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	25.507618	0.652368746803069
23730	0.08975979772439949	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	152.62464	1.9295150442477877
40230	0.0976882923191648	0	markov-multisize	0.1	1	1.0	0.1-1.0	markov-multisize-0.1	markov-multisize-1.0	markov-multisize-0.1-1.0	329.726213	2.458808448918717
13230	0.1836734693877551	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	222.981864	5.0562780952380955
52230	0.1958644457208501	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	1061.897436	6.099353452039058
17430	0.1910499139414802	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	202.813867	3.490772237521514
31830	0.1988689915174364	0	markov-multisize	0.2	1	1.0	0.2-1.0	markov-multisize-0.2	markov-multisize-1.0	markov-multisize-0.2-1.0	389.377644	3.6699118190386426
